AgeGroup,YearsTogether,Province,Divorced
Under 20 years,36 years,N.S.,0
Under 20 years,36 years,N.S.,1
Under 20 years,36 years,N.S.,0
Under 20 years,36 years,N.S.,0
Under 20 years,36 years,N.S.,0
Under 20 years,36 years,N.S.,0
Under 20 years,36 years,N.S.,0
Under 20 years,36 years,N.S.,0
Under 20 years,36 years,N.S.,0
Under 20 years,36 years,N.S.,0
Under 20 years,36 years,N.B.,0
Under 20 years,36 years,N.B.,1
Under 20 years,36 years,N.B.,0
Under 20 years,36 years,N.B.,0
Under 20 years,36 years,N.B.,0
Under 20 years,36 years,N.B.,0
Under 20 years,36 years,N.B.,0
Under 20 years,36 years,N.B.,0
Under 20 years,36 years,N.B.,1
Under 20 years,36 years,N.B.,1
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Que.,0
Under 20 years,36 years,Ont.,0
Under 20 years,36 years,Ont.,0
Under 20 years,36 years,Ont.,0
Under 20 years,36 years,Ont.,0
Under 20 years,36 years,Ont.,0
Under 20 years,36 years,Ont.,0
Under 20 years,36 years,Ont.,0
Under 20 years,36 years,Ont.,0
Under 20 years,36 years,Ont.,0
Under 20 years,36 years,Ont.,1
Under 20 years,36 years,Man.,0
Under 20 years,36 years,Man.,0
Under 20 years,36 years,Man.,0
Under 20 years,36 years,Man.,0
Under 20 years,36 years,Man.,0
Under 20 years,36 years,Man.,0
Under 20 years,36 years,Man.,0
Under 20 years,36 years,Man.,0
Under 20 years,36 years,Man.,1
Under 20 years,36 years,Man.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Sask.,0
Under 20 years,36 years,Alta.,0
Under 20 years,36 years,Alta.,0
Under 20 years,36 years,Alta.,0
Under 20 years,36 years,Alta.,1
Under 20 years,36 years,Alta.,0
Under 20 years,36 years,Alta.,0
Under 20 years,36 years,Alta.,0
Under 20 years,36 years,Alta.,0
Under 20 years,36 years,Alta.,0
Under 20 years,36 years,Alta.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,B.C.,0
Under 20 years,36 years,Y.T.,1
Under 20 years,36 years,Y.T.,1
Under 20 years,36 years,Y.T.,0
Under 20 years,36 years,Y.T.,0
Under 20 years,36 years,Y.T.,0
Under 20 years,36 years,Y.T.,0
Under 20 years,36 years,Y.T.,0
Under 20 years,36 years,Y.T.,0
Under 20 years,36 years,Y.T.,0
Under 20 years,36 years,Y.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,36 years,N.W.T.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,N.L.,0
Under 20 years,37 years,P.E.I.,0
Under 20 years,37 years,P.E.I.,0
Under 20 years,37 years,P.E.I.,0
Under 20 years,37 years,P.E.I.,0
Under 20 years,37 years,P.E.I.,0
Under 20 years,37 years,P.E.I.,1
Under 20 years,37 years,P.E.I.,0
Under 20 years,37 years,P.E.I.,0
Under 20 years,37 years,P.E.I.,0
Under 20 years,37 years,P.E.I.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.S.,0
Under 20 years,37 years,N.B.,0
Under 20 years,37 years,N.B.,0
Under 20 years,37 years,N.B.,0
Under 20 years,37 years,N.B.,0
Under 20 years,37 years,N.B.,0
Under 20 years,37 years,N.B.,1
Under 20 years,37 years,N.B.,0
Under 20 years,37 years,N.B.,0
Under 20 years,37 years,N.B.,0
Under 20 years,37 years,N.B.,0
Under 20 years,37 years,Que.,0
Under 20 years,37 years,Que.,1
Under 20 years,37 years,Que.,0
Under 20 years,37 years,Que.,0
Under 20 years,37 years,Que.,0
Under 20 years,37 years,Que.,0
Under 20 years,37 years,Que.,0
Under 20 years,37 years,Que.,1
Under 20 years,37 years,Que.,0
Under 20 years,37 years,Que.,0
Under 20 years,37 years,Ont.,1
Under 20 years,37 years,Ont.,0
Under 20 years,37 years,Ont.,0
Under 20 years,37 years,Ont.,0
Under 20 years,37 years,Ont.,1
Under 20 years,37 years,Ont.,0
Under 20 years,37 years,Ont.,0
Under 20 years,37 years,Ont.,0
Under 20 years,37 years,Ont.,0
Under 20 years,37 years,Ont.,0
Under 20 years,37 years,Man.,0
Under 20 years,37 years,Man.,1
Under 20 years,37 years,Man.,0
Under 20 years,37 years,Man.,1
Under 20 years,37 years,Man.,0
Under 20 years,37 years,Man.,0
Under 20 years,37 years,Man.,0
Under 20 years,37 years,Man.,0
Under 20 years,37 years,Man.,0
Under 20 years,37 years,Man.,0
Under 20 years,37 years,Sask.,0
Under 20 years,37 years,Sask.,1
Under 20 years,37 years,Sask.,1
Under 20 years,37 years,Sask.,0
Under 20 years,37 years,Sask.,0
Under 20 years,37 years,Sask.,0
Under 20 years,37 years,Sask.,0
Under 20 years,37 years,Sask.,0
Under 20 years,37 years,Sask.,0
Under 20 years,37 years,Sask.,1
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,Alta.,0
Under 20 years,37 years,B.C.,0
Under 20 years,37 years,B.C.,0
Under 20 years,37 years,B.C.,0
Under 20 years,37 years,B.C.,0
Under 20 years,37 years,B.C.,0
Under 20 years,37 years,B.C.,0
Under 20 years,37 years,B.C.,0
Under 20 years,37 years,B.C.,0
Under 20 years,37 years,B.C.,0
Under 20 years,37 years,B.C.,1
Under 20 years,37 years,Y.T.,0
Under 20 years,37 years,Y.T.,0
Under 20 years,37 years,Y.T.,1
Under 20 years,37 years,Y.T.,0
Under 20 years,37 years,Y.T.,1
Under 20 years,37 years,Y.T.,0
Under 20 years,37 years,Y.T.,0
Under 20 years,37 years,Y.T.,0
Under 20 years,37 years,Y.T.,0
Under 20 years,37 years,Y.T.,1
Under 20 years,37 years,N.W.T.,0
Under 20 years,37 years,N.W.T.,0
Under 20 years,37 years,N.W.T.,0
Under 20 years,37 years,N.W.T.,0
Under 20 years,37 years,N.W.T.,0
Under 20 years,37 years,N.W.T.,0
Under 20 years,37 years,N.W.T.,0
Under 20 years,37 years,N.W.T.,0
Under 20 years,37 years,N.W.T.,0
Under 20 years,37 years,N.W.T.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,N.L.,0
Under 20 years,38 years,P.E.I.,0
Under 20 years,38 years,P.E.I.,0
Under 20 years,38 years,P.E.I.,0
Under 20 years,38 years,P.E.I.,0
Under 20 years,38 years,P.E.I.,1
Under 20 years,38 years,P.E.I.,0
Under 20 years,38 years,P.E.I.,0
Under 20 years,38 years,P.E.I.,0
Under 20 years,38 years,P.E.I.,0
Under 20 years,38 years,P.E.I.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.S.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,N.B.,0
Under 20 years,38 years,Que.,0
Under 20 years,38 years,Que.,0
Under 20 years,38 years,Que.,0
Under 20 years,38 years,Que.,0
Under 20 years,38 years,Que.,1
Under 20 years,38 years,Que.,0
Under 20 years,38 years,Que.,0
Under 20 years,38 years,Que.,1
Under 20 years,38 years,Que.,0
Under 20 years,38 years,Que.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Ont.,0
Under 20 years,38 years,Man.,0
Under 20 years,38 years,Man.,0
Under 20 years,38 years,Man.,0
Under 20 years,38 years,Man.,0
Under 20 years,38 years,Man.,0
Under 20 years,38 years,Man.,0
Under 20 years,38 years,Man.,0
Under 20 years,38 years,Man.,1
Under 20 years,38 years,Man.,0
Under 20 years,38 years,Man.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Sask.,0
Under 20 years,38 years,Alta.,0
Under 20 years,38 years,Alta.,1
Under 20 years,38 years,Alta.,0
Under 20 years,38 years,Alta.,0
Under 20 years,38 years,Alta.,0
Under 20 years,38 years,Alta.,0
Under 20 years,38 years,Alta.,0
Under 20 years,38 years,Alta.,0
Under 20 years,38 years,Alta.,0
Under 20 years,38 years,Alta.,0
Under 20 years,38 years,B.C.,0
Under 20 years,38 years,B.C.,0
Under 20 years,38 years,B.C.,0
Under 20 years,38 years,B.C.,0
Under 20 years,38 years,B.C.,0
Under 20 years,38 years,B.C.,0
Under 20 years,38 years,B.C.,0
Under 20 years,38 years,B.C.,1
Under 20 years,38 years,B.C.,0
Under 20 years,38 years,B.C.,0
Under 20 years,38 years,Y.T.,0
Under 20 years,38 years,Y.T.,0
Under 20 years,38 years,Y.T.,0
Under 20 years,38 years,Y.T.,0
Under 20 years,38 years,Y.T.,1
Under 20 years,38 years,Y.T.,0
Under 20 years,38 years,Y.T.,0
Under 20 years,38 years,Y.T.,0
Under 20 years,38 years,Y.T.,0
Under 20 years,38 years,Y.T.,1
Under 20 years,38 years,N.W.T.,0
Under 20 years,38 years,N.W.T.,0
Under 20 years,38 years,N.W.T.,1
Under 20 years,38 years,N.W.T.,0
Under 20 years,38 years,N.W.T.,0
Under 20 years,38 years,N.W.T.,0
Under 20 years,38 years,N.W.T.,0
Under 20 years,38 years,N.W.T.,0
Under 20 years,38 years,N.W.T.,0
Under 20 years,38 years,N.W.T.,0
Under 20 years,39 years,N.L.,0
Under 20 years,39 years,N.L.,0
Under 20 years,39 years,N.L.,0
Under 20 years,39 years,N.L.,0
Under 20 years,39 years,N.L.,0
Under 20 years,39 years,N.L.,0
Under 20 years,39 years,N.L.,1
Under 20 years,39 years,N.L.,0
Under 20 years,39 years,N.L.,0
Under 20 years,39 years,N.L.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,P.E.I.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.S.,0
Under 20 years,39 years,N.B.,0
Under 20 years,39 years,N.B.,0
Under 20 years,39 years,N.B.,0
Under 20 years,39 years,N.B.,0
Under 20 years,39 years,N.B.,0
Under 20 years,39 years,N.B.,0
Under 20 years,39 years,N.B.,1
Under 20 years,39 years,N.B.,0
Under 20 years,39 years,N.B.,0
Under 20 years,39 years,N.B.,0
Under 20 years,39 years,Que.,1
Under 20 years,39 years,Que.,0
Under 20 years,39 years,Que.,0
Under 20 years,39 years,Que.,0
Under 20 years,39 years,Que.,0
Under 20 years,39 years,Que.,0
Under 20 years,39 years,Que.,0
Under 20 years,39 years,Que.,0
Under 20 years,39 years,Que.,0
Under 20 years,39 years,Que.,0
Under 20 years,39 years,Ont.,0
Under 20 years,39 years,Ont.,1
Under 20 years,39 years,Ont.,0
Under 20 years,39 years,Ont.,0
Under 20 years,39 years,Ont.,0
Under 20 years,39 years,Ont.,0
Under 20 years,39 years,Ont.,0
Under 20 years,39 years,Ont.,0
Under 20 years,39 years,Ont.,0
Under 20 years,39 years,Ont.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Man.,0
Under 20 years,39 years,Sask.,0
Under 20 years,39 years,Sask.,1
Under 20 years,39 years,Sask.,0
Under 20 years,39 years,Sask.,0
Under 20 years,39 years,Sask.,0
Under 20 years,39 years,Sask.,0
Under 20 years,39 years,Sask.,0
Under 20 years,39 years,Sask.,0
Under 20 years,39 years,Sask.,0
Under 20 years,39 years,Sask.,0
Under 20 years,39 years,Alta.,0
Under 20 years,39 years,Alta.,0
Under 20 years,39 years,Alta.,0
Under 20 years,39 years,Alta.,0
Under 20 years,39 years,Alta.,0
Under 20 years,39 years,Alta.,0
Under 20 years,39 years,Alta.,0
Under 20 years,39 years,Alta.,1
Under 20 years,39 years,Alta.,1
Under 20 years,39 years,Alta.,0
Under 20 years,39 years,B.C.,0
Under 20 years,39 years,B.C.,1
Under 20 years,39 years,B.C.,0
Under 20 years,39 years,B.C.,0
Under 20 years,39 years,B.C.,0
Under 20 years,39 years,B.C.,1
Under 20 years,39 years,B.C.,0
Under 20 years,39 years,B.C.,0
Under 20 years,39 years,B.C.,1
Under 20 years,39 years,B.C.,0
Under 20 years,39 years,Y.T.,0
Under 20 years,39 years,Y.T.,0
Under 20 years,39 years,Y.T.,0
Under 20 years,39 years,Y.T.,0
Under 20 years,39 years,Y.T.,1
Under 20 years,39 years,Y.T.,0
Under 20 years,39 years,Y.T.,0
Under 20 years,39 years,Y.T.,0
Under 20 years,39 years,Y.T.,0
Under 20 years,39 years,Y.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,39 years,N.W.T.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,N.L.,0
Under 20 years,40 years,P.E.I.,0
Under 20 years,40 years,P.E.I.,0
Under 20 years,40 years,P.E.I.,0
Under 20 years,40 years,P.E.I.,0
Under 20 years,40 years,P.E.I.,0
Under 20 years,40 years,P.E.I.,0
Under 20 years,40 years,P.E.I.,1
Under 20 years,40 years,P.E.I.,1
Under 20 years,40 years,P.E.I.,0
Under 20 years,40 years,P.E.I.,0
Under 20 years,40 years,N.S.,0
Under 20 years,40 years,N.S.,0
Under 20 years,40 years,N.S.,0
Under 20 years,40 years,N.S.,0
Under 20 years,40 years,N.S.,0
Under 20 years,40 years,N.S.,0
Under 20 years,40 years,N.S.,1
Under 20 years,40 years,N.S.,0
Under 20 years,40 years,N.S.,0
Under 20 years,40 years,N.S.,0
Under 20 years,40 years,N.B.,0
Under 20 years,40 years,N.B.,0
Under 20 years,40 years,N.B.,0
Under 20 years,40 years,N.B.,0
Under 20 years,40 years,N.B.,0
Under 20 years,40 years,N.B.,1
Under 20 years,40 years,N.B.,0
Under 20 years,40 years,N.B.,0
Under 20 years,40 years,N.B.,0
Under 20 years,40 years,N.B.,0
Under 20 years,40 years,Que.,0
Under 20 years,40 years,Que.,0
Under 20 years,40 years,Que.,1
Under 20 years,40 years,Que.,0
Under 20 years,40 years,Que.,1
Under 20 years,40 years,Que.,0
Under 20 years,40 years,Que.,0
Under 20 years,40 years,Que.,0
Under 20 years,40 years,Que.,0
Under 20 years,40 years,Que.,0
Under 20 years,40 years,Ont.,0
Under 20 years,40 years,Ont.,1
Under 20 years,40 years,Ont.,0
Under 20 years,40 years,Ont.,0
Under 20 years,40 years,Ont.,1
Under 20 years,40 years,Ont.,1
Under 20 years,40 years,Ont.,0
Under 20 years,40 years,Ont.,0
Under 20 years,40 years,Ont.,0
Under 20 years,40 years,Ont.,0
Under 20 years,40 years,Man.,0
Under 20 years,40 years,Man.,0
Under 20 years,40 years,Man.,0
Under 20 years,40 years,Man.,0
Under 20 years,40 years,Man.,0
Under 20 years,40 years,Man.,0
Under 20 years,40 years,Man.,0
Under 20 years,40 years,Man.,0
Under 20 years,40 years,Man.,1
Under 20 years,40 years,Man.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Sask.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,Alta.,0
Under 20 years,40 years,B.C.,0
Under 20 years,40 years,B.C.,1
Under 20 years,40 years,B.C.,0
Under 20 years,40 years,B.C.,1
Under 20 years,40 years,B.C.,0
Under 20 years,40 years,B.C.,1
Under 20 years,40 years,B.C.,0
Under 20 years,40 years,B.C.,0
Under 20 years,40 years,B.C.,0
Under 20 years,40 years,B.C.,0
Under 20 years,40 years,Y.T.,0
Under 20 years,40 years,Y.T.,0
Under 20 years,40 years,Y.T.,0
Under 20 years,40 years,Y.T.,0
Under 20 years,40 years,Y.T.,0
Under 20 years,40 years,Y.T.,1
Under 20 years,40 years,Y.T.,0
Under 20 years,40 years,Y.T.,0
Under 20 years,40 years,Y.T.,0
Under 20 years,40 years,Y.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,40 years,N.W.T.,0
Under 20 years,41 years,N.L.,0
Under 20 years,41 years,N.L.,0
Under 20 years,41 years,N.L.,1
Under 20 years,41 years,N.L.,0
Under 20 years,41 years,N.L.,0
Under 20 years,41 years,N.L.,0
Under 20 years,41 years,N.L.,0
Under 20 years,41 years,N.L.,0
Under 20 years,41 years,N.L.,0
Under 20 years,41 years,N.L.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,P.E.I.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.S.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,N.B.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Que.,0
Under 20 years,41 years,Ont.,0
Under 20 years,41 years,Ont.,0
Under 20 years,41 years,Ont.,0
Under 20 years,41 years,Ont.,0
Under 20 years,41 years,Ont.,1
Under 20 years,41 years,Ont.,0
Under 20 years,41 years,Ont.,0
Under 20 years,41 years,Ont.,0
Under 20 years,41 years,Ont.,0
Under 20 years,41 years,Ont.,0
Under 20 years,41 years,Man.,0
Under 20 years,41 years,Man.,0
Under 20 years,41 years,Man.,0
Under 20 years,41 years,Man.,1
Under 20 years,41 years,Man.,0
Under 20 years,41 years,Man.,0
Under 20 years,41 years,Man.,0
Under 20 years,41 years,Man.,0
Under 20 years,41 years,Man.,0
Under 20 years,41 years,Man.,0
Under 20 years,41 years,Sask.,0
Under 20 years,41 years,Sask.,0
Under 20 years,41 years,Sask.,0
Under 20 years,41 years,Sask.,0
Under 20 years,41 years,Sask.,0
Under 20 years,41 years,Sask.,0
Under 20 years,41 years,Sask.,0
Under 20 years,41 years,Sask.,0
Under 20 years,41 years,Sask.,1
Under 20 years,41 years,Sask.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,Alta.,0
Under 20 years,41 years,B.C.,0
Under 20 years,41 years,B.C.,0
Under 20 years,41 years,B.C.,0
Under 20 years,41 years,B.C.,0
Under 20 years,41 years,B.C.,0
Under 20 years,41 years,B.C.,1
Under 20 years,41 years,B.C.,0
Under 20 years,41 years,B.C.,0
Under 20 years,41 years,B.C.,0
Under 20 years,41 years,B.C.,0
Under 20 years,41 years,Y.T.,0
Under 20 years,41 years,Y.T.,0
Under 20 years,41 years,Y.T.,0
Under 20 years,41 years,Y.T.,0
Under 20 years,41 years,Y.T.,1
Under 20 years,41 years,Y.T.,0
Under 20 years,41 years,Y.T.,0
Under 20 years,41 years,Y.T.,0
Under 20 years,41 years,Y.T.,0
Under 20 years,41 years,Y.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,41 years,N.W.T.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,N.L.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,P.E.I.,0
Under 20 years,42 years,N.S.,1
Under 20 years,42 years,N.S.,0
Under 20 years,42 years,N.S.,0
Under 20 years,42 years,N.S.,0
Under 20 years,42 years,N.S.,0
Under 20 years,42 years,N.S.,0
Under 20 years,42 years,N.S.,0
Under 20 years,42 years,N.S.,0
Under 20 years,42 years,N.S.,0
Under 20 years,42 years,N.S.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,N.B.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Que.,0
Under 20 years,42 years,Ont.,0
Under 20 years,42 years,Ont.,1
Under 20 years,42 years,Ont.,1
Under 20 years,42 years,Ont.,0
Under 20 years,42 years,Ont.,0
Under 20 years,42 years,Ont.,0
Under 20 years,42 years,Ont.,0
Under 20 years,42 years,Ont.,0
Under 20 years,42 years,Ont.,0
Under 20 years,42 years,Ont.,0
Under 20 years,42 years,Man.,0
Under 20 years,42 years,Man.,0
Under 20 years,42 years,Man.,0
Under 20 years,42 years,Man.,0
Under 20 years,42 years,Man.,0
Under 20 years,42 years,Man.,0
Under 20 years,42 years,Man.,1
